phase_1_address,score,e911_address
697 elmendorf rd,1.0,697 ELMENDORF RD
195 hanson rd,1.0,195 HANSON RD
43 bourdeau rd,1.0,43 BOURDEAU RD
498 w salisbury rd,1.0,498 W SALISBURY RD
48 creek rd,1.0,48 CREEK RD
461 tulley rd,1.0,461 TULLEY RD
13 n orwell rd,1.0,13 N ORWELL RD
2375 s bingham st,1.0,2375 S BINGHAM ST
68 daigneault hill rd,1.0,68 DAIGNEAULT HILL RD
659 n orwell rd,1.0,659 N ORWELL RD
81 church st,1.0,81 CHURCH St
647 morgan rd,1.0,647 MORGAN RD
1153 webster rd,1.0,1153 WEBSTER RD
1762 richville rd,1.0,1762 RICHVILLE RD
479 tottingham rd,1.0,479 TOTTINGHAM RD
293 stickney rd,1.0,293 STICKNEY RD
177 n orwell rd,1.0,177 N ORWELL RD
149 wildflower ln,1.0,149 WILDFLOWER Ln
972 halladay rd,1.0,972 HALLADAY RD
23 old foundry rd,1.0,23 OLD FOUNDRY RD
84 creek rd,1.0,84 CREEK RD
2767 lake st,1.0,2767 LAKE ST
1469 s bingham st,1.0,1469 S BINGHAM ST
63 n bingham st,1.0,63 N BINGHAM ST
47 n orwell rd,1.0,47 N ORWELL RD
419 webster rd,1.0,419 WEBSTER RD
1671 leland rd,1.0,1671 LELAND RD
13 sampson rd,1.0,13 SAMPSON RD
1443 ridge rd,1.0,1443 RIDGE RD
144 hemenway hill rd,1.0,144 HEMENWAY HILL RD
2452 cutting hill rd,1.0,2452 CUTTING HILL RD
350 dewey rd,1.0,350 DEWEY RD
1789 shard villa rd,1.0,1789 SHARD VILLA RD
1398 leland rd,1.0,1398 LELAND RD
163 stickney rd,1.0,163 STICKNEY RD
299 n main st,1.0,299 N MAIN St
214 dewey rd,1.0,214 DEWEY RD
245 main st,1.0,245 MAIN ST
616 n main st,1.0,616 N MAIN St
4236 richville rd,1.0,4236 RICHVILLE RD
279 main st,1.0,279 MAIN St
1559 delong rd,1.0,1559 DELONG RD
812 parkhill rd,1.0,812 PARKHILL RD
55 shoreham depot rd,1.0,55 SHOREHAM DEPOT RD
29 n orwell rd,1.0,29 N ORWELL RD
1017 ridge rd,1.0,1017 RIDGE RD
1509 n orwell rd,1.0,1509 N ORWELL RD
