phase_1_address,score,e911_address
31 CLARK RD,1.0,31 CLARK RD
489 RICHVILLE RD,1.0,489 RICHVILLE RD
332 MAIN ST,1.0,332 MAIN ST
697 ELMENDORF RD,1.0,697 ELMENDORF RD
195 HANSON RD,1.0,195 HANSON RD
43 BOURDEAU RD,1.0,43 BOURDEAU RD
498 W SALISBURY RD,1.0,498 W SALISBURY RD
48 CREEK RD,1.0,48 CREEK RD
461 TULLEY RD,1.0,461 TULLEY RD
13 N ORWELL RD,1.0,13 N ORWELL RD
2375 S BINGHAM ST,1.0,2375 S BINGHAM ST
68 DAIGNEAULT HILL RD,1.0,68 DAIGNEAULT HILL RD
659 N ORWELL RD,1.0,659 N ORWELL RD
81 CHURCH ST,1.0,81 CHURCH St
647 MORGAN RD,1.0,647 MORGAN RD
1153 WEBSTER RD,1.0,1153 WEBSTER RD
1762 RICHVILLE RD,1.0,1762 RICHVILLE RD
479 TOTTINGHAM RD,1.0,479 TOTTINGHAM RD
293 STICKNEY RD,1.0,293 STICKNEY RD
177 N ORWELL RD,1.0,177 N ORWELL RD
149 WILDFLOWER LN,1.0,149 WILDFLOWER Ln
972 HALLADAY RD,1.0,972 HALLADAY RD
23 OLD FOUNDRY RD,1.0,23 OLD FOUNDRY RD
84 CREEK RD,1.0,84 CREEK RD
2767 LAKE ST,1.0,2767 LAKE ST
1469 S BINGHAM ST,1.0,1469 S BINGHAM ST
63 N BINGHAM ST,1.0,63 N BINGHAM ST
47 N ORWELL RD,1.0,47 N ORWELL RD
419 WEBSTER RD,1.0,419 WEBSTER RD
1671 LELAND RD,1.0,1671 LELAND RD
13 SAMPSON RD,1.0,13 SAMPSON RD
1443 RIDGE RD,1.0,1443 RIDGE RD
144 HEMENWAY HILL RD,1.0,144 HEMENWAY HILL RD
2452 CUTTING HILL RD,1.0,2452 CUTTING HILL RD
350 DEWEY RD,1.0,350 DEWEY RD
1789 SHARD VILLA RD,1.0,1789 SHARD VILLA RD
1398 LELAND RD,1.0,1398 LELAND RD
163 STICKNEY RD,1.0,163 STICKNEY RD
299 N MAIN ST,1.0,299 N MAIN St
214 DEWEY RD,1.0,214 DEWEY RD
245 MAIN ST,1.0,245 MAIN ST
616 N MAIN ST,1.0,616 N MAIN St
4236 RICHVILLE RD,1.0,4236 RICHVILLE RD
279 MAIN ST,1.0,279 MAIN St
1559 DELONG RD,1.0,1559 DELONG RD
812 PARKHILL RD,1.0,812 PARKHILL RD
55 SHOREHAM DEPOT RD,1.0,55 SHOREHAM DEPOT RD
29 N ORWELL RD,1.0,29 N ORWELL RD
1017 RIDGE RD,1.0,1017 RIDGE RD
1509 N ORWELL RD,1.0,1509 N ORWELL RD
44 HEMENWAY HILL RD,1.0,44 HEMENWAY HILL RD
938 BASIN HARBOR RD,1.0,938 BASIN HARBOR RD
128 BATES RD,1.0,128 BATES RD
20 ROBBINS RD,1.0,20 ROBBINS RD
560 MAIN ST,1.0,560 MAIN ST
948 LAPHAM BAY RD,1.0,948 LAPHAM BAY RD
900 CIDER MILL RD,1.0,900 CIDER MILL RD
