address,score,e911_address
13 second st,0.3333333333333333,13 W St
6 fiddlehead rd,1.0,6 FIDDLEHEAD RD
264 s main st,1.0,264 S MAIN St
2530 monkton rd,1.0,2530 MONKTON RD
617 middlebrook rd,1.0,617 MIDDLEBROOK RD
660 sand rd,1.0,660 SAND RD
657 maple st,1.0,657 MAPLE St
78 parks hurlburt rd,0.5,78 PARKS HURLBUROUTE RD
1489 shellhouse mountain rd,0.25,1489 HALPIN RD
1451 hallock rd,1.0,1451 HALLOCK RD
3540 monkton rd,1.0,3540 MONKTON RD
22 botsford rd,1.0,22 BOTSFORD RD
38 chipmans point rd,0.25,38 BOWMAN RD
25 school st,1.0,25 SCHOOL St
111 main st,1.0,111 MAIN St
30 s water st,1.0,30 S WATER St
182 s maple st,1.0,182 S MAPLE St
8 thomas cir,0.3333333333333333,8 THOMAS CIRCLE
1364 hooker rd,0.0,1364 ROUTE 30
18 w main st,0.6666666666666666,18 W St
201 leisure ln,1.0,201 LEISURE LN
51 booth woods,1.0,51 BOOTH WOODS
62 hawkins bay ln,1.0,62 HAWKINS BAY Ln
2560 middlebrook rd,0.25,2560 UPPER NOTCH RD
88 delorm rd,1.0,88 DELORM RD
75 mountain mdws,0.3333333333333333,75 MOUNTAIN St
1302 walker rd,1.0,1302 WALKER RD
122 green st,1.0,122 GREEN St
55 rustic ct,0.0,55 MACDONOUGH Dr
163 commodore dr,0.3333333333333333,163 STUROUTEEVANT Dr
2030 us route 7,0.0,2030 QUARRY RD
838 maple st,1.0,838 MAPLE ST
1732 fuller mountain rd,0.25,1732 SAND RD
27 union st,1.0,27 UNION St
821 parks hurlburt rd,0.5,821 PARKS HURLBUROUTE RD
1 horton rd,0.3333333333333333,1 HOPKINS RD
26 mountain view ln,1.0,26 MOUNTAIN VIEW Ln
237 field rd,1.0,237 FIELD RD
11 walker ave,0.3333333333333333,11 WALKER Av
29 s main st,1.0,29 S MAIN St
2053 maple st,0.0,2053 HARDSCRABBLE RD
123 shackett rd,1.0,123 SHACKETT RD
68 field rd,1.0,68 FIELD RD
193 s maple st,1.0,193 S MAPLE St
185 lake dunmore rd,1.0,185 LAKE DUNMORE RD
3167 lime kiln rd,1.0,3167 LIME KILN RD
195 young rd,1.0,195 YOUNG RD
3063 lake dunmore rd,1.0,3063 LAKE DUNMORE RD
18 sunset dr,1.0,18 SUNSET Dr
189 main st,0.3333333333333333,189 GREEN St
130 smead rd,1.0,130 SMEAD RD
139 green st,1.0,139 GREEN St
58 shackett rd,0.3333333333333333,58 BETTIS RD
5 elm st,1.0,5 ELM St
30 keewaydin way,0.0,30 MACDONOUGH Dr
100 mountainview dr,0.3333333333333333,100 MACDONOUGH Dr
109 blue heron ln,1.0,109 BLUE HERON Ln
3003 lake dunmore rd,1.0,3003 LAKE DUNMORE RD
3512 us route 7,0.6666666666666666,3512 ROUTE 7
21 booth woods,1.0,21 BOOTH WOODS
2617 middlebrook rd,1.0,2617 MIDDLEBROOK RD
782 vt route 73,0.25,782 ROUTE 73E
2394 maple st,0.0,2394 VT ROUTE 125
237 moonlit mdws,0.0,237 HOLSTEIN Dr
288 kelsey ln,1.0,288 KELSEY LN
308 kelsey ln,1.0,308 KELSEY LN
1827 leicester whiting rd,0.25,1827 GREENBUSH RD
543 hawkins rd,1.0,543 HAWKINS RD
2997 shellhouse mountain rd,0.5,2997 SHELLHOUSE  MTN. RD
38 s main st,1.0,38 S MAIN St
1642 sand rd,1.0,1642 SAND RD
99 bilodeau rd,1.0,99 BILODEAU RD
171 monroe way,0.0,171 MAIN St
3388 shellhouse mountain rd,0.5,3388 SHELLHOUSE MTN. RD
16 dakin rd,1.0,16 DAKIN RD
36 booth woods,1.0,36 BOOTH WOODS
345 green meadow ln,1.0,345 GREEN MEADOW Ln
87 s main st,1.0,87 S MAIN St
410 west shore rd,0.25,410 LEICESTER-WHITING RD
63 conkey hill rd,1.0,63 CONKEY HILL RD
910 us route 7,1.0,910 US ROUTE 7
298 glory ln,1.0,298 GLORY Ln
829 west shore rd,0.5,829 W SHORE RD
218 old stage rd,1.0,218 OLD STAGE RD
40 booth woods,1.0,40 BOOTH WOODS
422 west shore rd,0.2,422 MT INDEPENDENCE RD
30 chipmans point rd,0.5,30 CHIPMAN POINT RD
31 east st,0.3333333333333333,31 E St
2936 little chicago rd,1.0,2936 LITTLE CHICAGO RD
39 main st,1.0,39 MAIN St
29 diamond island ln,1.0,29 DIAMOND ISLAND Ln
796 west shore rd,0.5,796 W SHORE RD
888 botsford rd,1.0,888 BOTSFORD RD
249 pine ln,0.3333333333333333,249 DOVE Ln
1245 green st,1.0,1245 GREEN St
2133 west shore rd,0.5,2133 W SHORE RD
2104 west shore rd,0.5,2104 W SHORE RD
13 union st,1.0,13 UNION St
414 mount independence rd,0.5,414 MT INDEPENDENCE RD
7 mcknight ln,0.3333333333333333,7 MEADOW Ln
592 maple st,0.6666666666666666,592 MAPLE St EXT
199 s maple st,1.0,199 S MAPLE St
11 mountain view ln,1.0,11 MOUNTAIN VIEW Ln
145 green st,1.0,145 GREEN St
66 cove point dr,0.25,66 MACDONOUGH Dr
2422 little chicago rd,1.0,2422 LITTLE CHICAGO RD
38 bishop hill rd,1.0,38 BISHOP HILL RD
67 ferson rd,1.0,67 FERSON RD
40 macdonough dr,1.0,40 MACDONOUGH Dr
991 middlebrook rd,1.0,991 MIDDLEBROOK RD
402 underwood ln,1.0,402 UNDERWOOD LN
